type;driver;driver_name;unit;weight;duplicated;na_is_zero;source
Healthcare resources;Physiotherapists_per_1000_people;Physiotherapists;# per 1000 people;GDPperCapita;;;OECD
Industry Diamond production and trade;Diamond_exports_USD_per_carat;Diamond exports;USD (per carat);;TRUE;TRUE;The Kimberley Process
Industry Diamond production and trade;Diamond_exports_million_USD;Diamond exports;million USD;;;TRUE;The Kimberley Process
Industry Diamond production and trade;Diamond_exports_carats;Diamond exports carats;#;;TRUE;TRUE;The Kimberley Process
Industry Diamond production and trade;Diamond_imports_USD_per_carat;Diamond imports;USD (per carat);GDPperCapita;TRUE;;The Kimberley Process
Industry Diamond production and trade;Diamond_imports_million_USD;Diamond imports;million USD;GDPperCapita;;;The Kimberley Process
Industry Diamond production and trade;Diamond_imports_carats;Diamond imports carats;#;GDPperCapita;TRUE;;The Kimberley Process
Industry Diamond production and trade;Diamond_production_USD_per_carat;Diamond production;USD (per carat);;TRUE;TRUE;The Kimberley Process
Industry Diamond production and trade;Diamond_production_million_USD;Diamond production;million USD;;;TRUE;The Kimberley Process
Industry Diamond production and trade;Diamond_production_carats;Diamond production carats;#;;TRUE;TRUE;The Kimberley Process
Industry Oil, coal, and electricity (1);Diesel_and_heating_oil_consumption_thousand_barrels_per_day;Diesel and heating oil consumption;thousand barrels per day;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Gasoline_consumption_thousand_barrels_per_day;Gasoline consumption;thousand barrels per day;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Gasoline_production_thousand_barrels_per_day;Gasoline production;thousand barrels per day;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Jet_fuel_consumption_thousand_barrels_per_day;Jet fuel consumption;thousand barrels per day;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Jet_fuel_production_thousand_barrels_per_day;Jet fuel production;thousand barrels per day;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Liquefied_petroleum_gas_consumption_thousand_barrels_per_day;Liquefied petroleum gas consumption;thousand barrels per day;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Liquefied_petroleum_gas_production_thousand_barrels_per_day;Liquefied petroleum gas production;thousand barrels per day;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Oil_consumption_thousand_barrels_per_day;Oil consumption;thousand barrels per day;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Oil_production_thousand_barrels_per_day;Oil production;thousand barrels per day;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (1);Oil_reserves_billion_barrels;Oil reserves;billion barrels;;TRUE;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Coal_consumption_thousand_short_tons;Coal consumption;thousand short tons;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Coal_exports_thousand_short_tons;Coal exports;thousand short tons;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Coal_imports_thousand_short_tons;Coal imports;thousand short tons;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Coal_production_thousand_short_tons;Coal production;thousand short tons;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Coal_reserves_million_short_tons;Coal reserves;million short tons;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Electricity_consumption_billion_kilowatthours;Electricity consumption;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Electricity_exports_billion_kilowatthours;Electricity exports;TWh;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Electricity_imports_billion_kilowatthours;Electricity imports;TWh;;;TRUE;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Electricity_production_billion_kilowatthours;Electricity production;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Electricity_production_capacity_million_kilowatts;Electricity production capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Renewable_power_capacity_million_kilowatts;Renewable power capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Industry Oil, coal, and electricity (2);Renewable_power_generation_billion_kilowatthours;Renewable power generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Inequality and poverty;Gini_income_inequality_index;Gini income inequality index;index (0-100);GDPperCapita;;;The World Bank
Inequality and poverty;Percent_income_earned_by_the_top_10_percent_of_earners;Income earned by the top 10 percent of earners;% (income);GDPperCapita;;;The World Bank
Inequality and poverty;Poverty_percent_of_population;Poverty;% (population);GDPperCapita;;;The World Bank
Inequality and poverty;Poverty_ratio_percent_living_on_less_than_1_90_USD_a_day;Poverty ratio percent living on less than 1 90 USD a day;% (population);GDPperCapita;;;The World Bank
Inequality and poverty;Poverty_ratio_percent_living_on_less_than_5_50_USD_a_day;Poverty ratio percent living on less than 5 50 USD a day;% (population);GDPperCapita;;;The World Bank
Infrastructure and transport characteristics;Airline_passengers_of_domestically_owned_airlines;Airline passengers of domestically owned airlines;#;;;TRUE;The International Civil Aviation Organization
Infrastructure and transport characteristics;Broadband_internet_subscribers_in_thousands;Broadband internet subscribers;# per 1000;GDPperCapita;;;The International Telecommunication Union
Infrastructure and transport characteristics;Fixed_broadband_internet_subscribers_per_100_people;Fixed broadband internet subscribers;# per 100;GDPperCapita;;;The International Telecommunication Union
Infrastructure and transport characteristics;International_Internet_bandwidth_per_Internet_user_kb_s;International Internet bandwidth per Internet user;kb/s;GDPperCapita;;;The International Telecommunication Union
Infrastructure and transport characteristics;Internet_users_percent_of_population;Internet users;% (population);GDPperCapita;;;The World Bank
Infrastructure and transport characteristics;Mobile_network_coverage_percent_of_the_population;Mobile network coverage;% (population);GDPperCapita;;;International Telecommunication Union
Infrastructure and transport characteristics;Mobile_phone_subscribers_in_millions;Mobile phone subscribers;# in millions;GDPperCapita;;;The International Telecommunication Union
Infrastructure and transport characteristics;Mobile_phone_subscribers_per_100_people;Mobile phone subscribers;# per 100 people;GDPperCapita;TRUE;;The International Telecommunication Union
Infrastructure and transport characteristics;New_commercial_vehicle_sales_numbers_per_year;New commercial vehicle sales;# per year;GDPperCapita;;;OICA
Infrastructure and transport characteristics;New_passenger_car_sales_numbers_per_year;New passenger car sales;# per year;GDPperCapita;;;OICA
Infrastructure and transport characteristics;Number_of_20_foot_containers_passing_through_the_ports;Number of 20 foot containers passing through the ports;#;GDPperCapita;;;Containerisation International
Infrastructure and transport characteristics;Quality_of_air_transport_infrastructure_1_low____7_high_;Quality of air transport infrastructure index;index (1 = low, 7 = high);GDPperCapita;;;World Economic Forum
Infrastructure and transport characteristics;Quality_of_port_infrastructure_1_low____7_high_;Quality of port infrastructure index;index (1 = low, 7 = high);GDPperCapita;;;World Economic Forum
Infrastructure and transport characteristics;Quality_of_railroad_infrastructure_1_low____7_high_;Quality of railroad infrastructure index;index (1 = low, 7 = high);GDPperCapita;;;World Economic Forum
Infrastructure and transport characteristics;Quality_of_roads_1_low____7_high_;Quality of roads index;index (1 = low, 7 = high);GDPperCapita;;;World Economic Forum
Infrastructure and transport characteristics;Railroad_lines_total_length_in_km;Railroad lines total length;km;GDPperCapita;;;The World Bank
Infrastructure and transport characteristics;Railway_passengers;Railway passengers;#;GDPperCapita;;;The World Bank
Infrastructure and transport characteristics;Volume_of_goods_transported_by_railways;Volume of goods transported by railways;metric tons km;GDPperCapita;;;The World Bank
Innovation measures;High_tech_exports_percent_of_manufactured_exports;High tech exports;% (manufactured exports);GDPperCapita;;;The United Nations
Innovation measures;High_technology_exports;High technology exports;#;GDPperCapita;;;The United Nations
Innovation measures;Information_technology_exports_percent_of_total_goods_exports;Information technology exports;% (total goods exports);GDPperCapita;;;The United Nations
Innovation measures;Innovations_index__0_100_;Innovations index;index (0-100);GDPperCapita;;;Cornell University, INSEAD, and the WIPO
Innovation measures;Patent_applications_by_residents;Patent applications by residents;# (patents);GDPperCapita;;;The World Intellectual Property Organization
Innovation measures;Research_and_development_expenditure_percent_of_GDP;Research and development expenditure;% (GDP);GDPperCapita;;;The United Nations
International trade and investment (1);Exports_of_goods_and_services_as_percent_of_GDP;Exports of goods and services;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (1);Exports_of_goods_and_services_billion_USD;Exports of goods and services;billion USD;GDPperCapita;TRUE;;The World Bank
International trade and investment (1);Exports_of_goods_and_services_annual_growth;Exports of goods and services annual growth;%;GDPperCapita;;;The World Bank
International trade and investment (1);Foreign_Direct_Investment_billion_USD;Foreign Direct Investment;billion USD;GDPperCapita;TRUE;;The World Bank
International trade and investment (1);Foreign_Direct_Investment_percent_of_GDP;Foreign Direct Investment;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (1);Imports_of_goods_and_services_as_percent_of_GDP;Imports of goods and services;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (1);Imports_of_goods_and_services_billion_USD;Imports of goods and services;billion USD;GDPperCapita;TRUE;;The World Bank
International trade and investment (1);Net_portfolio_equity_inflows;Net portfolio equity inflows;million USD (current);GDPperCapita;;;The International Monetary Fund
International trade and investment (1);Terms_of_trade_base_year___2000;Terms of trade index;index (base year 2000);GDPperCapita;;;The United Nations
International trade and investment (1);Trade_openness__exports_plus_imports_as_percent_of_GDP;Trade openness  exports plus imports;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (2);Balance_of_payments_net_errors_and_omissions;Balance of payments net errors and omissions;million USD;GDPperCapita;;;The World Bank
International trade and investment (2);Current_account_balance_as_percent_of_GDP;Current account balance;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (2);Current_account_balance_billion_USD;Current account balance;billion USD;GDPperCapita;TRUE;;The World Bank
International trade and investment (2);External_debt_percent_of_Gross_National_Income;External debt percent of Gross National Income;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (2);Foreign_exchange_reserves_including_gold_billion_USD;Foreign exchange reserves including gold;billion USD;GDPperCapita;;;The World Bank
International trade and investment (2);Remittances_as_percent_of_GDP;Remittances;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (2);Remittances_million_USD;Remittances;million USD;GDPperCapita;TRUE;;The World Bank
International trade and investment (2);Short_term_debt_percent_of_total_external_debt;Short term debt;% (total external debt);GDPperCapita;;;The World Bank
International trade and investment (2);Short_term_external_debt_percent_of_international_reserves;Short term external debt;% (international reserves);GDPperCapita;;;The World Bank
International trade and investment (2);Trade_balance_as_percent_of_GDP;Trade balance;% (GDP);GDPperCapita;;;The World Bank
International trade and investment (2);Trade_balance_billion_USD;Trade balance;billion USD;GDPperCapita;TRUE;;The World Bank
Labor market;Female_labor_force_participation_rate;Female labor force participation rate;%;GDPperCapita;;;The World Bank
Labor market;Labor_force_million_people;Labor force;million people;population;;;The World Bank
Labor market;Labor_force_percent_female;Labor force - female;%;GDPperCapita;;;The World Bank
Labor market;Labor_force_participation_rate;Labor force participation rate;%;GDPperCapita;;;The World Bank
Labor market;Male_labor_force_participation_rate;Male labor force participation rate;%;GDPperCapita;;;The World Bank
Labor market;Unemployment_rate;Unemployment rate;%;GDPperCapita;;;The World Bank
Labor market;Unemployment_rate_for_females;Unemployment rate for females;%;GDPperCapita;;;The World Bank
Labor market;Unemployment_rate_for_males;Unemployment rate for males;%;GDPperCapita;;;The World Bank
Labor market;Youth_unemployment_ages_15_24;Youth unemployment;% (ages 15-25);GDPperCapita;;;The World Bank
Military;Armed_forces_personnel;Armed forces personnel;# (persons);GDPperCapita;TRUE;;International Institute for Strategic Studies
Military;Armed_forces_personnel_percent_of_the_labor_force;Armed forces personnel;% (labor force);GDPperCapita;;;International Institute for Strategic Studies
Military;Arms_exports_million_constant_U_S__dollars;Arms exports;million constant USD;GDPperCapita;;TRUE;Stockholm International Peace Research Institute
Military;Arms_imports_million_constant_U_S__dollars;Arms imports;million constant USD;GDPperCapita;;TRUE;Stockholm International Peace Research Institute
Military;Military_spending_in_billion_U_S__dollars;Military spending;billion USD;GDPperCapita;TRUE;;Stockholm International Peace Research Institute
Military;Military_spending_percent_of_total_government_spending;Military spending;% (total government spending);GDPperCapita;;;Stockholm International Peace Research Institute
Military;Military_spending_percent_of_GDP;Military spending percent of GDP;% (GDP);GDPperCapita;;;Stockholm International Peace Research Institute
Minerals;Bauxite_production_in_thousand_metric_tons;Bauxite production;thousand metric tons;;;TRUE;USGS
Minerals;Cobalt_production_in_metric_tons;Cobalt production;metric tons;;;TRUE;USGS
Minerals;Copper_mine_production_in_metric_tons;Copper mine production;metric tons;;;TRUE;USGS
Minerals;Gold_production_in_kilograms;Gold production;kilograms;;;TRUE;USGS
Minerals;Iron_production_in_thousand_metric_tons;Iron production;thousand metric tons;;;TRUE;USGS
Minerals;Lithium_production_in_metric_tons;Lithium production;metric tons;;;TRUE;USGS
Minerals;Platinum_production_in_kilograms;Platinum production;kilograms;;;TRUE;USGS
Minerals;Silver_production_in_metric_tones;Silver production;metric tones;;;TRUE;USGS
Minerals;Zinc_production_in_metric_tons;Zinc production;metric tons;;;TRUE;USGS
Money;Inflation__percent_change_in_the_Consumer_Price_Index;Inflation in the Consumer Price Index;%;GDPperCapita;;;The World Bank
Other indicators;Happiness_Index_0__unhappy____10__happy_;Happiness Index;index (0 = unhappy, 10 = happy);GDPperCapita;;;The World Happiness Report
Other indicators;Human_Development_Index__0___1_;Human Development Index;index (0-1);GDPperCapita;;;The United Nations
Other indicators;Land_area_in_sq__km;Land area;sq  km;landArea;;;Food and Agriculture Organization
Other indicators;Women_in_parliament_percent;Women in parliament;%;GDPperCapita;;;The World Bank
Political system;Academic_freedom_index;Academic freedom index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Deliberative_democracy_index;Deliberative democracy index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Egalitarian_democracy_index;Egalitarian democracy index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Electoral_democracy_index;Electoral democracy index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Freedom_of_expression;Freedom of expression index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Government_accountability;Government accountability index;index;GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Liberal_democracy_index;Liberal democracy index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Participatory_democracy_index;Participatory democracy index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Political_corruption_index;Political corruption index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Women_political_empowerment_index;Women political empowerment index;index (0-1);GDPperCapita;;;Varieties of Democracy (V-Dem)
Political system;Year_of_presidential_elections;Year of presidential elections;boolean (1 = true, 0 = false);population;;;Varieties of Democracy (V-Dem)
Political system;Years_of_parliamentary_elections;Years of parliamentary elections;boolean (1 = true, 0 = false);population;;;Varieties of Democracy (V-Dem)
Price level;Alcohol_beverage_price_index_world_average___100;Alcohol beverage price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Bread_and_cereal_prices_world_average___100;Bread and cereal prices index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Clothing_and_footwear_prices_world_average___100;Clothing and footwear prices;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Communication_price_index_world_average___100;Communication price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Cost_of_living_index_world_average___100;Cost of living index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Education_service_price_index_world_average___100;Education service price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Fish_and_seafood_prices_world_average___100;Fish and seafood prices index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Food_price_index_world_average___100;Food price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Fruit_price_index_world_average___100;Fruit price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Furniture_and_household_maintenance_prices_world_average___100;Furniture and household maintenance prices index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Healthcare_price_index_world_average___100;Healthcare price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Hotel_and_restaurant_price_index_world_average___100;Hotel and restaurant price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Housing_and_utilities_price_index_world_average____100;Housing and utilities price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Machinery_and_equipment_prices_world_average___100;Machinery and equipment prices index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Meat_price_index_world_average___100;Meat price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Milk_cheese_and_eggs_price_index_world_average___100;Milk cheese and eggs price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Recreation_and_culture_price_index_world_average___100;Recreation and culture price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Transport_prices_world_average___100;Transport prices;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Vegetable_price_index_world_average___100;Vegetable price index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Price level;Vehicle_prices_world_average___100;Vehicle prices index;index (World average = 100);GDPperCapita;;;World Bank International Comparison Program
Religious composition of the population;Buddhists_as_percent_of_the_total_population;Buddhists;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Catholic_Christians_as_percent_of_the_total_population;Catholic Christians;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Christians_as_percent_of_the_total_population;Christians;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Eastern_Orthodox_Christians_as_percent_of_the_total_population;Eastern Orthodox Christians;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Muslims_as_percent_of_the_total_population;Muslims;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Non_religious_people_as_percent_of_the_population;Non religious people;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;People_practicing_Hinduism_as_percent_of_the_population;People practicing Hinduism;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;People_practicing_Judaism_as_percent_of_the_population;People practicing Judaism;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Protestant_Christians_as_percent_of_the_total_population;Protestant Christians;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Shia_Muslims_as_percent_of_the_total_population;Shia Muslims;% (total population);;;TRUE;The Cline Center for Democracy
Religious composition of the population;Sunni_Muslims_as_percent_of_the_total_population;Sunni Muslims;% (total population);;;TRUE;The Cline Center for Democracy
Shares of world totals;Percent_of_world_exports;Exports;% (World);GDPperCapita;;TRUE;The World Bank
Shares of world totals;Percent_of_world_Foreign_Direct_Investment;Foreign Direct Investment;% (World);GDPperCapita;TRUE;TRUE;The World Bank
Shares of world totals;Percent_of_world_GDP;GDP;% (World);GDPperCapita;;TRUE;The World Bank
Shares of world totals;Percent_of_world_imports;Imports;% (World);GDPperCapita;;TRUE;The World Bank
Shares of world totals;Percent_of_world_oil_reserves;Oil reserves;% (World);GDPperCapita;;TRUE;The U.S. Energy Information Administration
Shares of world totals;Percent_of_world_population;Population;% (World);GDPperCapita;;TRUE;The World Bank
Stock market, insurance, pensions;Insurance_company_assets_percent_of_GDP;Insurance company assets;% (GDP);GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Life_insurance_premium_volume_percent_of_GDP;Life insurance premium volume;% (GDP);GDPperCapita;;;Swiss Re
Stock market, insurance, pensions;Mutual_fund_assets_percent_of_GDP;Mutual fund assets;% (GDP);GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Non_life_insurance_premium_volume_percent_of_GDP;Non life insurance premium volume;% (GDP);GDPperCapita;;;Swiss Re
Stock market, insurance, pensions;Nonbank_financial_institutions_assets_percent_of_GDP;Nonbank financial institutions assets;% (GDP);GDPperCapita;;;The International Monetary Fund
Stock market, insurance, pensions;Number_of_companies_listed_on_the_stock_exchange;Number of companies listed on the stock exchange;#;GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Pension_fund_assets_as_percent_of_GDP;Pension fund assets;% (GDP);GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Stock_market_capitalization_as_percent_of_GDP;Stock market capitalization;% (GDP);GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Stock_market_capitalization_billion_USD;Stock market capitalization;billion USD;GDPperCapita;TRUE;;The World Bank
Stock market, insurance, pensions;Stock_market_capitalization_w_o_top_10_firms_percent_of_total_market_cap;Stock market capitalization without top 10 firms;% (total market cap);GDPperCapita;;;The World Federation of Exchanges
Stock market, insurance, pensions;Stock_market_return_percent;Stock market return;%;GDPperCapita;;;Global Financial Development Database
Stock market, insurance, pensions;Stock_market_turnover_ratio;Stock market turnover ratio;ratio;GDPperCapita;;;The World Bank
Stock market, insurance, pensions;Stock_market_value_traded_percent_of_GDP;Stock market value traded percent of GDP;% (GDP);GDPperCapita;;;The World Federation of Exchanges
Stock market, insurance, pensions;Stock_market_value_traded_w_o_top_10_firms___of_total_value_traded;Stock market value traded without top 10 firms;% (total value traded);GDPperCapita;;;The World Federation of Exchanges
Stock market, insurance, pensions;Stock_price_volatility_percent;Stock price volatility;%;GDPperCapita;;;Global Financial Development Database
Tourism;International_tourism_revenue;International tourism revenue;million USD;;TRUE;TRUE;World Tourism Organization
Tourism;International_tourism_revenue_percent_of_GDP;International tourism revenue;% (GDP);;;TRUE;World Tourism Organization
Tourism;Percent_of_world_tourist_arrivals;Tourist arrivals;% (World);;TRUE;TRUE;World Tourism Organization
Tourism;Tourist_arrivals;Tourist arrivals;#;;;TRUE;World Tourism Organization
Tourism;Tourist_departures;Tourist departures;#;;;TRUE;World Tourism Organization
